predicate,isInUMLS,weight
investigated the association,0,284.7776
randomly selected,0,282.4751
at risk of,0,282.2238
had a bmi,0,281.975
gained,0,280.8745
operating,0,279.8986
appeared,0,279.4531
achieve,0,278.9806
influencing,0,278.9806
nested,0,278.9148
was not significantly associated,0,278.7105
were collected from,0,278.2194
calculate,1,278.164
summarizes,0,277.4285
conjugated linoleic acid,1,277.3628
may be related,0,277.3285
subcutaneous adipose tissue,1,276.873
enhanced,1,276.4598
conclude,1,276.3767
ranging,0,275.6294
is based on,0,274.4737
assessing,0,274.2736
screened,0,273.5301
benefit,1,273.4543
stimulate,0,273.3922
change,1,273.0866
test,1,272.9805
multiple logistic regression,0,272.7064
reporting,1,272.4247
retrieved,0,272.3825
done,1,272.044
was no association,0,270.7133
unconditional logistic regression,0,269.8216
target,1,269.7649
is not associated with,0,269.6221
clarify,1,269.5083
undergo,0,269.1573
was also associated,0,268.9454
avoid,0,268.3674
accompanied,0,268.2558
propose,0,267.6452
focuses,0,267.3677
participated,0,264.6116
was based on,0,264.0565
were measured by,0,263.1473
were measured in,0,263.1473
were followed for,0,262.2548
involve,0,262.0217
among men with,0,261.2698
stimulated,1,261.1904
in individuals with,0,261.1788
describes,0,261.1118
exert,1,260.3564
confirmed by,1,259.5204
improves,0,258.3537
prevented,0,258.1535
evaluated the association,0,257.5716
has been proposed,0,257.5716
were compared between,0,257.5716
maintaining,0,256.0667
with adjustment for,0,255.5193
produce,0,255.2752
risk,1,255.1523
was determined by,0,254.6259
reveal,1,254.302
participate,0,254.0139
changing,1,253.6056
facilitate,0,253.2652
participating,1,252.6532
not known,1,252.4184
discovered,0,252.3455
generated,1,252.3455
is implicated in,0,251.6814
other chronic diseases,0,251.6814
were adjusted for,0,251.6814
supporting,1,251.6572
varied,0,251.2551
undergone,0,250.5018
ageing,1,250.2867
of leptin on,0,249.7424
inversely related,0,249.6287
was present in,0,248.7396
were no differences,0,248.724
protect,0,248.6107
consisted,0,248.4652
modulating,1,248.1482
detect,1,247.99
treated by,1,247.493
maintain,1,247.2351
for development of,0,246.9327
significantly correlated,0,246.0109
lacking,1,245.9573
supported,1,245.9573
presents,0,245.8939
reviews,1,245.8939
set,1,245.1327
believed,0,244.6116
free fatty acids,1,243.9562
referred,1,243.7714
continue,1,243.6622
low physical activity,0,243.6341
availability of,1,243.1296
obese postmenopausal women,0,242.8711
offer,0,242.7715
examining,1,242.547
needs,1,242.3554
may be important,0,242.184
may be useful,0,242.184
isolated,1,241.9829
is positively associated with,0,241.8387
differentially expressed,0,241.721
previously reported,0,240.9518
raised,1,240.9322
contributed,0,239.6744
may be due,0,238.2953
may help to,0,238.2953
were identified from,0,238.2953
making,0,238.2822
changed,1,238.0946
of bmi with,0,238.0136
were found for,0,238.0136
extracted,1,237.621
measure,1,236.9844
take,1,236.2456
by means of,0,236.1629
suppressed,1,235.7505
significantly related,0,235.4173
highlights,0,235.346
was found for,0,235.2668
were observed between,0,235.2668
impact,1,235.1171
accelerated,1,234.623
should not be,0,234.3892
has been used,0,233.1562
in survivors of,0,233.1071
mediating,1,233.0614
examines,0,232.6205
involves,0,232.6205
mediate,1,232.3977
was detected in,0,230.4655
were free of,0,230.4655
dietary fat intake,1,230.1968
called,0,229.3577
leisure-time physical activity,0,229.3577
positively correlated,0,229.3209
was independently associated,0,229.2162
were similar in,0,229.2162
targeted,1,228.9836
histologically confirmed,0,228.6158
demonstrates,0,228.5394
promoted,0,227.4054
has been found,0,227.4015
well as in,0,227.4015
discusses,0,227.3834
reflect,1,226.6807
located,0,226.4586
remaining,1,226.4586
care of,1,225.6318
determining,0,224.62
performed by,1,224.1584
assigned,1,223.8604
addressing,0,223.2328
declined,0,222.7982
examined the relationship,0,222.5632
has been demonstrated,0,222.5632
differed,0,222.5631
dosing,0,222.4306
located in,1,221.933
born,0,221.7387
proven,1,221.1465
have been identified as,0,220.7719
is strongly associated with,0,220.2259
acting,0,219.9909
activate,1,218.1679
hospitalized,1,217.9385
with changes in,0,217.2843
varies,1,216.52
among women in,0,216.3633
highlighted,0,216.0706
reached,0,215.8006
employed,1,214.8877
perform,1,214.8877
may be involved,0,214.5854
accounted,0,214.4111
existing,0,214.1645
staining,1,214.061
tended,0,213.4575
enhancing,0,213.2533
was an independent predictor,0,213.1901
elucidated,0,213.1158
pancreatic ductal adenocarcinoma,1,212.426
were examined in,0,212.346
enhances,0,212.2882
conserved,0,211.6066
in risk of,0,211.4459
was measured by,0,211.4459
is defined as,0,211.1526
revealed that the,0,210.5671
recreational physical activity,0,209.3507
but not among,0,209.2321
interact,0,209.2306
excluding,0,208.9882
profiling,0,208.5661
not related,1,208.5393
continues,0,208.3158
presenting,1,208.3002
extracts,0,208.0482
decreases,1,207.5773
on risk of,0,207.4077
accumulating,0,206.5425
between patients with,0,206.1419
investigating,1,205.4591
for cancers of,0,205.0727
site of,1,204.7031
experience,1,204.2573
in view of,0,204.2504
several chronic diseases,0,204.2504
suppress,1,203.5284
has emerged as,0,203.3488
is a strong,0,203.3488
for cancer of,0,202.6882
collected by,1,202.4943
in spite of,0,202.4694
is a complex,0,202.4694
causing,1,202.1297
recommend,1,201.8579
correlate,0,201.6738
of obesity among,0,200.9883
for prevention of,0,200.1712
of action of,0,200.1712
lower urinary tract,1,199.6341
follow,1,199.4661
has been identified,0,199.2687
were used for,0,199.2687
exhibit,1,199.1047
up,1,198.5032
is a known,0,198.389
human epidermal growth,0,197.9527
randomly assigned,0,197.1091
inducing,1,196.6445
has been suggested that,0,196.4177
had no effect,0,196.0703
was lower in,0,196.0703
randomised,0,195.8206
retrospectively reviewed,0,195.6895
could not be,0,195.1669
were identified in,0,195.1669
mediates,1,195.1298
member of,1,194.9945
reach,1,194.9588
characterize,0,194.8684
is inversely associated with,0,194.6352
were assessed by,0,194.287
were identified through,0,194.287
utilized,0,194.0605
give,1,193.1822
has been observed,0,192.877
stimulates,0,192.4932
papillary thyroid cancer,1,192.2122
activates,1,192.0303
of hcc in,0,192.0204
racial ethnic groups,0,192.0204
makes,0,191.928
but not for,0,191.0428
of men with,0,191.0428
were available for,0,191.0428
of cancers of,0,190.6812
measuring,1,190.5151
in conjunction with,0,190.1626
is the third,0,190.1626
was observed among,0,190.1626
were estimated by,0,190.1626
representing,0,189.8727
inversely correlated,0,188.6213
updated,0,187.8933
implemented,0,187.3796
quantified,0,187.3796
as predictors of,0,186.8959
could be used,0,186.8959
is the second,0,186.8959
was no evidence,0,186.8959
were identified by,0,186.8959
working,1,186.6988
fatty acid oxidation,1,186.6865
closely related,0,186.4445
referred to,1,186.4445
prevents,1,186.1354
but also in,0,186.0154
were stratified by,0,186.0154
accepted,1,185.5574
restricted,1,185.5574
undertaken,0,185.5574
in women of,0,185.5277
allows,1,185.1154
directed,0,184.8932
of cancer of,0,184.4336
encourage,0,184.2893
added,1,183.9456
positive surgical margins,0,183.7164
is required for,0,183.632
is the major,0,182.7256
of mortality in,0,182.7256
was observed with,0,182.7256
were eligible for,0,182.7256
left,1,182.7237
drawn,0,182.5688
triple negative breast,0,182.4943
predicts,0,181.9252
is a serious,0,181.8447
many chronic diseases,0,181.8447
was performed on,0,181.8447
were calculated for,0,181.8447
relating,0,181.7558
free fatty acid,1,181.3393
ascertained,0,181.2421
coupled,1,180.9627
adipose stromal cells,0,180.807
was correlated with,0,180.3741
were independently associated,0,180.3741
removed,1,179.9531
fully understood,0,179.5157
was significantly increased,0,179.164
driven,0,179.1123
predisposing,1,179.1123
relate,1,179.1123
participated in the,0,178.5311
than half of,0,178.5311
was evaluated by,0,178.5311
than patients with,0,178.1277
initiated,0,177.83
exerts,1,177.785
is a critical,0,177.6499
plays a key,0,177.6499
was increased in,0,177.6499
was seen in,0,177.6499
were randomly assigned,0,177.6499
displayed,1,177.488
comprised,0,177.3761
was higher than,0,177.1265
reversed,0,177.0153
offered,1,176.9828
acquired,1,176.2939
of adiponectin in,0,176.1582
were identified as,0,176.1582
generate,0,176.0888
had at least,0,176.0187
of changes in,0,175.2206
of obesity as,0,175.2206
modulates,0,174.8026
obtain,1,174.8026
starting,0,174.7138
fraction of,1,174.6319
in light of,0,174.3118
avoiding,0,174.2032
requiring,0,174.0044
on survival in,0,173.8945
were analyzed by,0,173.4302
concluded,0,173.0508
approved,1,172.7829
body,1,172.5899
for cancer in,0,171.9169
were categorized as,0,171.9169
follows,1,171.6865
created,1,171.2935
deep venous thrombosis,1,171.1016
enriched,1,171.0193
create,1,170.8322
consisting,0,170.8066
brown adipose tissue,1,170.6848
laparoscopic radical prostatectomy,0,170.2761
should be used,0,170.067
was obtained from,0,170.067
were also associated,0,170.067
were classified into,0,170.067
contain,1,169.9284
significantly inhibited,0,169.7791
independent prognostic factor,0,169.6358
offers,0,169.4854
underlie,0,169.4854
examined the associations,0,169.185
is a chronic,0,169.185
not only in,0,169.185
plays a critical,0,169.185
was used for,0,169.185
were inversely associated,0,169.185
were randomly selected,0,169.185
were recruited from,0,169.185
meet,1,169.0689
low molecular weight,0,168.6521
respond,0,168.6136
registered,1,167.7619
released,1,167.7619
summarized,0,167.7619
were evaluated by,0,167.6496
ensure,1,167.2999
see,1,166.2779
contribute to the development,0,166.169
quantify,0,165.9875
constitute,0,165.9519
reported by,1,165.8125
population-based prospective cohort,0,165.7959
were measured at,0,165.7959
smoked,0,165.3547
peroxisome proliferator-activated receptors,1,165.3509
inform,1,165.1537
could lead to,0,164.9135
has been studied,0,164.9135
investigated the effects,0,164.9135
is influenced by,0,164.9135
should be taken,0,164.9135
was diagnosed in,0,164.9135
were found between,0,164.9135
esophageal squamous cell,1,164.37
saturated fatty acids,1,164.3347
fed a high-fat diet,0,164.2185
had a higher risk,0,164.2185
modifying,0,164.2072
suffer,1,164.2072
possess,1,164.1764
dying,1,164.086
operated,0,163.9092
reason for,1,163.67
admitted,1,163.3687
potential therapeutic target,0,163.3554
should be encouraged,0,163.3554
silencing,0,163.2485
yielded,0,162.8385
contains,1,162.4211
utilizing,0,162.4211
significantly elevated,0,161.8646
allowed,1,161.5013
was assessed in,0,161.4977
overweight obese women,0,161.2918
asked,0,161.0997
for obesity in,0,161.039
assessed the association,0,160.6148
may be responsible,0,160.6148
of data from,0,160.6148
were extracted from,0,160.6148
pronounced,0,160.6079
visceral fat accumulation,0,160.0628
for women in,0,160.017
of women in,0,160.017
was negatively associated,0,160.017
blocked,1,159.7808
enable,1,159.7084
fatty acid metabolism,1,158.891
in people with,0,158.891
attenuated by,1,158.6319
arising,1,158.3665
depends,0,158.3665
can be attributed,0,158.0859
of cancer at,0,158.0859
suppresses,1,157.9777
pooled,1,157.9624
extensively studied,0,157.9167
limited by,1,157.9167
tested the hypothesis,0,157.1715
was not related,0,157.1715
were excluded from,0,157.1715
formed,1,156.5617
is a potential,0,156.2881
is estimated that,0,156.2881
is mediated by,0,156.2881
were increased in,0,156.2881
total mesorectal excision,1,155.73
digital rectal examination,1,155.671
of life of,0,155.671
clustering,1,155.4623
with bmi in,0,154.5434
predispose,0,154.3527
confer,0,154.2927
urgently needed,0,153.9688
produces,0,153.8717
docking,1,153.8045
shared,1,153.3986
regarded,0,153.3977
arise,0,152.933
link,1,152.933
synthesized,1,152.933
met the inclusion,0,152.8164
early gastric cancer,1,152.6613
managing,1,152.5307
depend,1,152.4748
with risk for,0,152.3309
behind,1,152.0237
is a well-known,0,151.9325
is increased in,0,151.9325
is the main,0,151.9325
was used as,0,151.9325
well as for,0,151.9325
were collected by,0,151.9325
for use in,0,151.2959
in women than,0,151.2959
genotyped,0,151.1091
has been identified as,0,150.5563
was no significant association,0,150.5563
multiple linear regression,0,150.3031
demonstrating,0,150.199
projected,1,149.5842
manifestation of,1,149.5673
consists,0,149.317
suffering,1,148.8671
activating,1,148.8195
controls,0,148.8195
monitoring,1,148.5318
of patients in,0,148.4313
was independent of,0,148.4313
stage,1,148.3837
studying,0,148.3837
impaired,1,148.3679
should be performed,0,147.933
validate,0,147.9233
injected,0,147.9085
performing,0,147.9085
tend,0,147.9085
has been described,0,147.5468
has increased in,0,147.5468
is accompanied by,0,147.5468
was examined in,0,147.5468
was found that,0,147.5468
were analyzed in,0,147.5468
were categorized into,0,147.5468
contained,1,147.2099
in children with,0,146.9858
identifies,0,146.982
reverse,1,146.982
were defined as,0,146.8905
were in the,0,146.8905
total physical activity,0,146.7898
mentioned,0,146.4416
proved,0,146.0853
after exclusion of,0,145.8924
was stronger in,0,145.8924
prove,0,145.5975
mammary adipose tissue,0,145.2916
express,0,145.1376
chronic inflammatory diseases,0,144.9351
of association between,0,144.9351
of death among,0,144.9351
was measured in,0,144.9351
with obesity in,0,144.9351
raise,0,144.6854
can be performed,0,144.6064
of vte in,0,144.6064
varying,0,144.215
directly related,0,144.1085
could contribute to,0,144.0153
demonstrated that the,0,144.0153
for men with,0,144.0153
in incidence of,0,144.0153
was also observed,0,144.0153
was higher among,0,144.0153
were similar for,0,144.0153
will be discussed,0,144.0153
lower,1,143.8027
is one of the strongest,0,143.7701
manage,0,143.7467
in case of,0,143.5046
has been hypothesized,0,143.1302
has been made,0,143.1302
participated in a,0,143.1302
failed,1,142.8339
of adenocarcinoma of,0,142.454
was a significant predictor,0,142.0547
grouped,1,141.9509
lowering,1,141.8889
overcome,1,141.8889
of cancers in,0,141.4502
with women with,0,141.4502
die,0,141.4282
monitored,0,141.4282
altering,0,140.9718
prospectively collected,0,140.7842
lose,0,140.5942
were also observed,0,140.489
of metformin in,0,140.1585
has been proposed as,0,139.9403
have been reported in,0,139.9403
can be achieved,0,139.5671
examined the effects,0,139.5671
has been recognized,0,139.5671
in cases of,0,139.5671
that patients with,0,139.5671
was defined by,0,139.5671
were correlated with,0,139.5671
combining,0,139.5629
atypical endometrial hyperplasia,1,139.4799
preexisting,1,138.8723
negatively correlated,0,138.859
positively related,0,138.859
enzyme-linked immunosorbent assay,1,138.6814
has shown that,0,138.6814
is linked with,0,138.6814
should be evaluated,0,138.6814
was studied in,0,138.6814
were assessed in,0,138.6814
were lower in,0,138.6814
beginning,1,138.2263
blocking,1,138.2113
not found,1,138.1389
laparoscopic colorectal surgery,0,138.1345
of children with,0,138.1345
of diabetes in,0,137.9852
subcutaneous fat area,0,137.9852
subjected,0,137.7125
achieving,0,137.6904
is one of the major,0,137.6757
conditioned,1,137.6177
comprising,0,137.2368
modulated,1,137.2368
avoided,0,137.2233
overexpressed,0,136.8389
open,1,136.7435
at time of,0,136.0098
was a risk,0,136.0098
was noted in,0,136.0098
limiting,1,135.8105
highly conserved,0,135.4961
ameliorate,0,135.3566
has been estimated,0,135.0856
may have been,0,135.0856
of development of,0,135.0856
suggested that the,0,135.0856
via activation of,0,135.0856
was strongly associated,0,135.0856
were evaluated for,0,135.0856
were evaluated in,0,135.0856
highlighting,0,134.9108
protects,0,134.8574
at diagnosis of,0,134.5521
defining,0,134.4727
postulated,0,134.4727
at baseline in,0,134.1992
has been considered,0,134.1992
important public health,0,134.1992
in development of,0,134.1992
in women in,0,134.1992
was evaluated in,0,134.1992
was investigated in,0,134.1992
was not observed,0,134.1992
were based on,0,134.1992
were searched for,0,134.1992
differs,0,133.4689
distributed,1,133.4689
gain,1,133.4689
persisted,0,133.4689
individualized,1,133.0541
guide,1,132.9638
suspected,1,132.9638
surrounding,1,132.5848
lowered,1,132.4915
abnormal uterine bleeding,0,132.3789
meeting,1,132.2166
early surgical outcomes,0,132.1509
declining,1,131.6774
paid,0,131.545
can be considered,0,131.496
nonsteroidal anti-inflammatory drugs,1,131.496
were analyzed for,0,131.496
significantly improved,0,130.6908
emphasize,0,130.6892
constructed,0,130.5894
was compared with,0,130.5694
will lead to,0,130.5694
has been observed in,0,130.1752
of crc in,0,130.0259
attending,1,129.7681
evaluated the effect,0,129.6822
indicated that the,0,129.6822
investigated the effect,0,129.6822
is caused by,0,129.6822
might contribute to,0,129.6822
past several decades,0,129.6822
reflecting,1,129.6706
african american breast,0,129.4408
hypothesize,0,129.2241
owing,0,129.2241
in mice with,0,128.9458
in prevention of,0,128.9458
consuming,0,128.7217
drive,1,128.6795
started,1,128.2158
was an independent risk,0,128.1955
could be prevented,0,127.9211
diet-induced obese mice,0,127.9211
driving,1,127.313
out,1,127.313
in men than,0,126.9464
was no correlation,0,126.9464
fully adjusted,0,126.8105
encoding,1,126.8005
inherited,1,126.8005
alters,0,126.7615
managed,1,126.7615
grading,1,126.473
develops,0,126.2965
form,1,126.2965
controlled by,1,126.0311
had a body,0,126.017
may be protective,0,126.017
of age at,0,126.017
function,1,125.8407
suppressing,1,125.8407
of adiponectin on,0,125.4649
interviewed,0,125.3937
limit,1,125.3937
reveals,1,125.3937
abstract truncated at,0,125.129
by use of,0,125.129
conducted a case-control,0,125.129
in accordance with,0,125.129
may also have,0,125.129
past few years,0,125.129
was accompanied by,0,125.129
were collected at,0,125.129
